CG_ID	SSP1	SSP2	SSH11	SSH12	log2_P_ratio	log2_H_ratio	perc_cis	FBgn_ID	Gene_name	tau	Age_classification	HK_bin	min	class	pvalsPar1.adj	pvalsHyb1.adj
CG13472	132	132	130	134	0	-0.0437213774293179	50	FBgn0036450	Tdrd3	0.328	Bilateria	non_HKs	0	non_TS_non_HK	1	0.99298484738264
CG1349	95	170	112	153	-0.839535327806754	-0.450032920635048	53.605000972471	FBgn0039802	dj-1beta	0.262	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian	non_HKs	0	non_TS_non_HK	4.13685191649052e-05	0.0911779496896308
CG13492	26	305	164	167	-3.55222571430916	-0.0261522878559686	0.736222581538705	FBgn0034662	CG13492	0.787	Diptera	non_HKs	0	TS	2.21523639839266e-59	1
CG13503	92	127	110	109	-0.465122730715153	0.0131753887477332	2.68079327321279	FBgn0243516	Vrp1	0.528	Eukaryota	non_HKs	0	non_TS_non_HK	0.0672201522714755	1
CG13506	87	78	95	70	0.15754127698648	0.440572591385981	60.8858780146762	FBgn0034723	CG13506	0.422	Pan-drosophilid	non_HKs	0	non_TS_non_HK	0.706918624126768	0.241601973953657
CG13510	44	50	49	45	-0.184424571137427	0.122856747785533	28.5621658007762	FBgn0034758	CG13510	0.602	Eukaryota	non_HKs	0	non_TS_non_HK	0.76975908693981	0.948027098236353
CG13521	31	24	18	37	0.369233809665719	-1.03952836418664	42.459354722633	FBgn0005631	robo1	0.383	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Bilateria by ProteinHistorian	non_HKs	0	non_TS_non_HK	0.59943411559642	0.0936618432980627
CG13533	170	197	163	204	-0.212660883318674	-0.323697187740418	74.4587646400325	FBgn0034793	asrij	0.441	Bilateria	non_HKs	0	non_TS_non_HK	0.330955401965786	0.173706676577296
CG1354	767	493	619	641	0.637638931125022	-0.0503849474044764	6.82344869601838	FBgn0030151	CG1354	0.237	Cellular_Organisms	non_HKs	0	non_TS_non_HK	3.08268464832184e-13	0.821733337068853
CG13550	65	74	73	66	-0.187085552600495	0.145430439521564	30.4281881593799	FBgn0034853	Ice1	0.48	Diptera	non_HKs	0	non_TS_non_HK	0.673899389809973	0.860425848115093
CG13551	187	87	141	133	1.10395096403891	0.0842689168976039	7.63339311642052	FBgn0040660	CG13551	0.281	Bilateria	non_HKs	0	non_TS_non_HK	2.26706900862142e-08	0.901834445293667
CG13567	42	50	54	38	-0.251538766995964	0.506959988719883	40.0613604314645	FBgn0034963	Not11	0.36	Eukaryota	non_HKs	0	non_TS_non_HK	0.646115079682925	0.360630387985447
CG13570	77	59	71	65	0.38414349133306	0.127379306476227	33.1593035805953	FBgn0015544	spag	0.494	Eukaryota	non_HKs	0	non_TS_non_HK	0.288886614970071	0.900438775759143
CG1358	83	92	83	92	-0.148522524710088	-0.148522524710088	100	FBgn0033196	CG1358	0.587	Eukaryota	non_HKs	0	non_TS_non_HK	0.717131599048273	0.814470429781586
CG13598	63	87	76	74	-0.465663572348812	0.0384741478146356	7.09054668450224	FBgn0016754	sba	0.369	Pan-drosophilid	non_HKs	0	non_TS_non_HK	0.149428601526016	1
CG13601	46	50	39	57	-0.120294233717712	-0.547487795302493	56.1709518124919	FBgn0039126	CG13601	0.359	Eukaryota	non_HKs	0	non_TS_non_HK	0.880408527247562	0.29019819011748
CG13603	106	188	128	166	-0.826668397114438	-0.375039431346925	45.3675781795983	FBgn0039135	CG13603	0.361	Bilateria	non_HKs	0	non_TS_non_HK	1.83330814493778e-05	0.154777944798325
CG13605	141	221	177	185	-0.648351206992638	-0.0637759104333147	9.83663016980222	FBgn0039150	CG13605	0.373	Eukaryota	non_HKs	0	non_TS_non_HK	0.000233106472089457	0.920540039711196
CG13607	194	129	182	141	0.588685586763874	0.368243287799903	62.5534743978041	FBgn0039151	CG13607	0.694	Diptera	non_HKs	0	TS	0.00206691618915985	0.137927991203568
CG1362	23	33	21	35	-0.52083216330144	-0.736965594166206	77.3230876133	FBgn0013435	Cdc2rk	0.385	Diptera	non_HKs	0	non_TS_non_HK	0.40103403895162	0.289681122573687
CG13623	34	30	27	37	0.180572245641821	-0.454565863465481	41.7146192825428	FBgn0039205	CG13623	0.462	Cellular_Organisms	non_HKs	0	non_TS_non_HK	0.840628783648743	0.570771239481413
CG13625	73	20	43	50	1.86789646399265	-0.217591435072627	9.44784801145705	FBgn0039210	CG13625	0.512	Eukaryota	non_HKs	0	non_TS_non_HK	3.71374887584907e-07	0.807064797322673
CG13630	107	163	119	151	-0.607261167829931	-0.343586976017135	56.57977065205	FBgn0039219	CG13630	0.36	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian	non_HKs	0	non_TS_non_HK	0.00409103831018697	0.235737509499624
CG13663	43	44	47	40	-0.0331668639351993	0.232660756790275	46.6732560445553	FBgn0039291	CG13663	0.391	Bilateria	non_HKs	0	non_TS_non_HK	1	0.800240714393771
CG13671	71	75	71	75	-0.0790715709911988	-0.0790715709911988	100	FBgn0035867	CG13671	0.369	Bilateria	non_HKs	0	non_TS_non_HK	0.90795343303591	0.970651733994182
CG13688	61	51	48	64	0.258311995591391	-0.415037499278844	38.1332652365373	FBgn0031267	Ipk2	0.378	Eukaryota	non_HKs	0	non_TS_non_HK	0.581057004782108	0.425367050944219
CG13698	61	24	53	32	1.34577483684173	0.727920454563199	54.0893197461981	FBgn0036773	CG13698	0.646	Diptera	non_HKs	0	TS	0.000509271593602465	0.151081099330717
CG1371	380	381	383	378	-0.00379157916237413	0.0189581577038845	45.4546025381387	FBgn0033482	CG1371	0.226	Eukaryota	HK	6.236153	non_TS_HK	1	1
CG13758	31	29	30	30	0.096215315259303	0	0	FBgn0260753	Pdfr	0.701	Bilateria	non_HKs	0	TS	0.966712823716784	1
CG13760	40	39	43	36	0.0365258760251139	0.256339753259786	53.8355137592025	FBgn0040375	CG13760	0.518	Eukaryota	non_HKs	0	non_TS_non_HK	1	0.787990903280256
CG13761	70	60	60	70	0.222392421336448	-0.222392421336448	33.3333333333333	FBgn0011566	Smyd3	0.48	Eukaryota	non_HKs	0	non_TS_non_HK	0.608572325959048	0.734038051697617
CG13773	22	26	15	33	-0.241008099503795	-1.13750352374993	55.9244892860254	FBgn0042092	CG13773	0.435	Eukaryota	non_HKs	0	non_TS_non_HK	0.810279096266419	0.0885315325512197
CG13778	113	138	116	135	-0.288345494362981	-0.218834601923259	75.8931927848266	FBgn0031885	Mnn1	0.373	Bilateria	non_HKs	0	non_TS_non_HK	0.266732526324125	0.565711436834432
CG13827	34	45	40	39	-0.404390255079335	0.0365258760251139	7.6503272606262	FBgn0039068	CG13827	0.562	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Bilateria by ProteinHistorian	non_HKs	0	non_TS_non_HK	0.437059356786406	1
CG13830	57	47	44	60	0.278301162487104	-0.447458976971221	38.1394209065542	FBgn0039054	Cow	0.737	Bilateria	non_HKs	0	TS	0.564714515684637	0.400787499335226
CG13849	259	285	250	294	-0.13800982136555	-0.233888060174277	70.9253980457025	FBgn0038964	Nop56	0.268	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian	non_HKs	0	non_TS_non_HK	0.464541833419822	0.250573613866171
CG13850	116	118	113	121	-0.0246620542342691	-0.0986842748594068	57.1398745499054	FBgn0038961	CG13850	0.327	Bilateria	non_HKs	0	non_TS_non_HK	0.996957652381794	0.883990896221937
CG13852	89	80	81	88	0.153805336079035	-0.119581615752673	30.4303258878321	FBgn0038965	mats	0.397	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian	non_HKs	0	non_TS_non_HK	0.710571981878827	0.882733381879054
CG13867	66	73	57	82	-0.145430439521564	-0.524661990453342	58.0446663718112	FBgn0034503	MED8	0.328	Bilateria	non_HKs	0	non_TS_non_HK	0.773596554942625	0.186714540657813
CG13868	517	348	427	438	0.571076974466206	-0.0366947999806831	5.69382516281408	FBgn0034501	CG13868	0.437	Pan-drosophilid	non_HKs	0	non_TS_non_HK	1.37194147338762e-07	0.930781058673425
CG13890	65	90	56	99	-0.46948528330122	-0.822001698022006	69.9862938769354	FBgn0035169	CG13890	0.385	Cellular_Organisms	non_HKs	0	non_TS_non_HK	0.136656984517427	0.00930260630265933
CG13900	459	381	408	432	0.268703155920486	-0.082462160191973	19.0168208192785	FBgn0035162	CG13900	0.338	Eukaryota	non_HKs	0	non_TS_non_HK	0.029596673996215	0.733151726486255
CG13901	41	30	38	33	0.450661409009565	0.203533394085132	45.1632622665528	FBgn0035164	CG13901	0.648	Diptera	non_HKs	0	TS	0.408581849956887	0.875567738210759
CG13907	426	398	438	386	0.0980849996821895	0.182330022333093	68.3972583945504	FBgn0035173	CG13907	0.368	Bilateria	non_HKs	0	non_TS_non_HK	0.537339421455485	0.275306565983465
CG1391	185	251	280	156	-0.44016209343446	0.843880798082718	39.657474664488	FBgn0003464	sol	0.381	Eukaryota	non_HKs	0	non_TS_non_HK	0.00836983122728332	1.51290135279603e-07
CG13912	34	33	36	31	0.0430687218918859	0.215728691055437	55.5445390536894	FBgn0035186	CG13912	0.681	Pan-drosophilid	non_HKs	0	TS	1	0.870262796208718
CG13917	146	314	233	227	-1.10479619001161	0.0376376573633652	3.18943870877644	FBgn0035237	CG13917	0.344	Diptera	non_HKs	0	non_TS_non_HK	9.3820488807497e-14	0.974400787563174
CG13928	42	31	30	43	0.438121112391885	-0.519374159093579	35.1672360697415	FBgn0035246	CG13928	0.616	Pan-drosophilid	non_HKs	0	TS	0.415406721757827	0.43129839538497
CG13929	76	86	88	74	-0.178337241258512	0.249978253008348	36.853981628541	FBgn0035247	metl	0.351	Eukaryota	non_HKs	0	non_TS_non_HK	0.659294528005168	0.624365553226916
CG13956	79	66	72	73	0.25938662881865	-0.0198995574377049	6.65123852226521	FBgn0040207	kat80	0.316	Eukaryota	non_HKs	0	non_TS_non_HK	0.507101040109261	1
CG1399	84	72	79	77	0.222392421336448	0.0369942074822016	16.6346529525998	FBgn0033212	LRR	0.391	Eukaryota	HK	7.008580302	non_TS_HK	0.56500924613311	1
CG1401	139	137	149	127	0.0209089897629807	0.230483833689996	52.375704744218	FBgn0039632	Cul5	0.473	Bilateria	non_HKs	0	non_TS_non_HK	1	0.501444713428202
CG14021	26	35	22	39	-0.428843298803874	-0.825970600224951	67.5310291280339	FBgn0031702	fusl	0.653	Pan-drosophilid	non_HKs	0	TS	0.49073760105977	0.181529434688102
CG14025	139	178	157	160	-0.35679235824289	-0.0273073459957354	7.6535680669331	FBgn0000228	Bsg25D	0.55	Diptera	non_HKs	0	non_TS_non_HK	0.0940364508298449	1
CG14026	159	192	175	176	-0.272079545436801	-0.00822050680496853	3.02136156239573	FBgn0003716	tkv	0.305	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Bilateria by ProteinHistorian	non_HKs	0	non_TS_non_HK	0.199456798555296	1
CG14028	259	45	155	149	2.52495519135688	0.0569558848120759	2.25571863639562	FBgn0015031	cype	0.26	Pan-drosophilid	non_HKs	0	non_TS_non_HK	9.83024413440253e-36	0.955050069729016
CG1403	37	31	39	29	0.255257055242075	0.427421223734676	71.2861302619358	FBgn0011710	1-Sep	0.306	Diptera	non_HKs	0	non_TS_non_HK	0.716252234739578	0.587755359214572
CG14030	83	86	72	97	-0.0512253233551731	-0.429987840744815	53.1669428544882	FBgn0031696	Bub1	0.431	Bilateria	non_HKs	0	non_TS_non_HK	0.960789406476561	0.249591823079525
CG14039	62	59	69	52	0.0715532610250341	0.408084738637077	54.8047074092391	FBgn0028572	qtc	0.679	Diptera	non_HKs	0	TS	0.942815839555166	0.407278207937734
CG1404	1093	729	970	852	0.584302681344968	0.187131316848652	32.0264347269307	FBgn0020255	Ran	0.221	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian	non_HKs	0	non_TS_non_HK	4.50675353955567e-16	0.0509528550575918
CG14040	41	83	53	71	-1.01748742672884	-0.421826664941483	41.4576783811107	FBgn0031676	CG14040	0.409	Eukaryota	non_HKs	0	non_TS_non_HK	0.00128277121247868	0.374856807648722
CG14043	134	163	141	156	-0.282638963773305	-0.145850866463455	51.6032412928165	FBgn0031659	CG14043	0.49	Eukaryota	non_HKs	0	non_TS_non_HK	0.22700532350994	0.725475386793363
CG14048	61	125	53	133	-1.0350469470992	-1.32736198093799	81.9522638666898	FBgn0040389	mRpL14	0.35	Bilateria	non_HKs	0	non_TS_non_HK	2.76980465364026e-05	1.95499644118234e-07
CG1406	39	38	36	41	0.037474705418663	-0.187627003175771	45.4601286087012	FBgn0033210	U2A	0.427	Eukaryota	non_HKs	0	non_TS_non_HK	1	0.884693711115796
CG1407	34	42	43	33	-0.304854581528421	0.381870635343644	35.7357399948581	FBgn0033474	CG1407	0.354	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian	non_HKs	0	non_TS_non_HK	0.602968885243037	0.620077758218639
CG14073	42	98	72	68	-1.22239242133645	0.082462160191973	5.94400382494575	FBgn0036814	CG14073	0.37	Diptera	non_HKs	0	non_TS_non_HK	2.24478509505652e-05	0.968705658761428
CG14080	73	62	69	66	0.235628248493142	0.0641303374197156	27.2167441000106	FBgn0036844	Mkp3	0.273	Bilateria	non_HKs	0	non_TS_non_HK	0.576087946891531	0.99669945850545
CG1410	47	69	53	63	-0.553935605100532	-0.249359468936717	45.015966953679	FBgn0024182	waw	0.924	Cellular_Organisms	non_HKs	0	TS	0.131903902946663	0.711935388159729
CG14109	27	28	29	26	-0.0524674198941355	0.15754127698648	42.8625460992268	FBgn0036364	CG14109	0.662	Pan-drosophilid	non_HKs	0	TS	1	0.961848809241964
CG1412	37	132	60	109	-1.8349407537295	-0.861293729168408	46.9385034594624	FBgn0031118	RhoGAP19D	0.263	Bilateria	HK	3.259889932	non_TS_HK	2.46548580137871e-12	0.00343984165408203
CG14131	21	35	26	30	-0.736965594166206	-0.206450877467426	28.0136385065577	FBgn0036205	CG14131	0.661	Pan-drosophilid	non_HKs	0	TS	0.189359084040212	0.910379479325357
CG14149	33	36	38	31	-0.125530882083859	0.29373120305671	41.1969099736374	FBgn0036105	Blos4	0.365	Eukaryota	non_HKs	0	non_TS_non_HK	0.911619358477984	0.766189032044904
CG1416	116	92	108	100	0.334419039070559	0.111031312388744	33.2012533429107	FBgn0032961	CG1416	0.283	Eukaryota	non_HKs	0	non_TS_non_HK	0.236592062021464	0.871589097569418
CG1417	144	265	212	197	-0.879923548008249	0.105868635106823	9.69794219410223	FBgn0003423	slgA	0.428	Eukaryota	non_HKs	0	non_TS_non_HK	3.41350111351576e-08	0.780405869377126
CG1418	41	35	38	38	0.228268987673117	0	0	FBgn0033468	CG1418	0.59	Eukaryota	non_HKs	0	non_TS_non_HK	0.735701897164691	1
CG14181	29	47	38	38	-0.696607856550065	0	0	FBgn0035965	Use1	0.349	Bilateria	non_HKs	0	non_TS_non_HK	0.131365990191049	1
CG14194	293	238	266	265	0.299939091114304	0.00543388605062807	1.8116631714928	FBgn0030996	CG14194	0.401	Bilateria	non_HKs	0	non_TS_non_HK	0.0614091412227968	1
CG1420	71	39	46	64	0.864344900642434	-0.476438043942987	26.2179474566166	FBgn0039626	Slu7	0.419	Eukaryota	non_HKs	0	non_TS_non_HK	0.0125420733883862	0.334600705113795
CG14207	182	174	186	170	0.0648511443499679	0.12976787497033	66.6554371757344	FBgn0031037	CG14207	0.338	Bilateria	non_HKs	0	non_TS_non_HK	0.84299818619217	0.732773400856206
CG14210	24	35	30	29	-0.54432051622381	0.0489096004809465	7.61666023327477	FBgn0031040	CG14210	0.391	Eukaryota	non_HKs	0	non_TS_non_HK	0.354958789728852	1
CG14211	56	79	55	80	-0.496425826119499	-0.540568381362703	92.4505336774715	FBgn0031044	MKP-4	0.422	Eukaryota	non_HKs	0	non_TS_non_HK	0.145767852234467	0.177148940538334
CG14213	154	435	132	457	-1.49808505004119	-1.79165623569962	85.9213828356797	FBgn0031047	Rcd-1	0.41	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian	non_HKs	0	non_TS_non_HK	4.03521941289571e-30	2.85572408098362e-40
CG14214	268	330	281	317	-0.300233023788043	-0.173912709918481	57.9259095898987	FBgn0031049	Sec61gamma	0.292	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian	non_HKs	0	non_TS_non_HK	0.0438127603374134	0.419317630142728
CG14215	68	143	106	105	-1.07240849552805	0.0136749368970765	1.24344922289653	FBgn0031052	CG14215	0.496	Bilateria	non_HKs	0	non_TS_non_HK	2.95488701105284e-06	1
CG14217	179	166	193	152	0.108776345917332	0.344529523824495	59.3727027871696	FBgn0031030	Tao	0.338	Bilateria	non_HKs	0	non_TS_non_HK	0.691738251492707	0.155808579324775
CG1422	83	100	70	113	-0.2688167584278	-0.690895945470221	62.0764943696865	FBgn0040087	p115	0.255	Eukaryota	non_HKs	0	non_TS_non_HK	0.410143064367335	0.0201354143041685
CG14220	58	59	48	69	-0.0246620542342691	-0.523561956057013	51.2060134098992	FBgn0031036	CG14220	0.371	Diptera	non_HKs	0	non_TS_non_HK	1	0.248216504054323
CG14222	79	80	83	76	-0.0181473467102594	0.127111917903339	46.6686367950966	FBgn0031043	NAA20	0.267	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian	non_HKs	0	non_TS_non_HK	1	0.875193533430098
CG14224	881	1125	1016	990	-0.352711077183986	0.0373999718051938	8.74830588827853	FBgn0031057	Ubqn	0.228	Eukaryota	non_HKs	0	non_TS_non_HK	6.78860558113709e-07	0.835814535598409
CG14226	157	358	274	241	-1.18919502837263	0.185142746730565	11.8720781784988	FBgn0043903	dome	0.463	Diptera	non_HKs	0	non_TS_non_HK	1.50449209344062e-17	0.430796105566517
CG14228	371	249	336	284	0.575273444552722	0.242570303274078	42.1660873747923	FBgn0086384	Mer	0.346	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Bilateria by ProteinHistorian	non_HKs	0	non_TS_non_HK	1.07641031383391e-05	0.184232289944508
CG14229	33	30	34	29	0.137503523749935	0.229481846122767	71.3873346102936	FBgn0031059	CG14229	0.544	Pan-drosophilid	non_HKs	0	non_TS_non_HK	0.907079919913023	0.863492687728679
CG14230	103	77	105	75	0.419713986488317	0.485426827170242	88.0769168842423	FBgn0031062	CG14230	0.424	Eukaryota	non_HKs	0	non_TS_non_HK	0.153481293803246	0.153655897147397
CG14231	43	56	47	52	-0.381090167355506	-0.145850866463455	38.2720098698835	FBgn0031060	CG14231	0.397	Cellular_Organisms	non_HKs	0	non_TS_non_HK	0.39976242434686	0.910379479325357
CG14232	116	143	123	136	-0.301890341650817	-0.1449483359111	48.0135717885121	FBgn0031061	CG14232	0.598	Bilateria	non_HKs	0	non_TS_non_HK	0.230176597450563	0.753331411932762
CG1424	37	34	28	43	0.12199052437861	-0.618909832644494	45.5144282155868	FBgn0020272	mst	0.513	Eukaryota	non_HKs	0	non_TS_non_HK	0.913215798055201	0.317163494812524
CG1427	50	41	52	39	0.286304185156641	0.415037499278844	76.3258139367516	FBgn0037347	CG1427	0.355	Eukaryota	non_HKs	0	non_TS_non_HK	0.586945055117549	0.503169566486437
CG14270	75	64	76	63	0.228818690495881	0.270647589943669	86.6137450759098	FBgn0029665	CG14270	0.464	Bilateria	non_HKs	0	non_TS_non_HK	0.581253334366473	0.626724134751348
CG14286	23	20	17	26	0.20163386116965	-0.612976876890753	42.9379514413709	FBgn0038673	CG14286	0.366	Eukaryota	non_HKs	0	non_TS_non_HK	0.880408527247562	0.524423577792982
CG14292	201	58	157	102	1.79307069605136	0.622195406920132	34.6999930504866	FBgn0038658	CG14292	0.82	Pan-drosophilid	non_HKs	0	TS	4.46155437553778e-18	0.0100173157431117
CG14299	55	58	36	77	-0.0766212816029125	-1.09686153925259	51.8095795326192	FBgn0038651	CG14299	0.308	Bilateria	non_HKs	0	non_TS_non_HK	0.939298092789427	0.00256423470773046
CG1430	78	96	77	97	-0.299560281858908	-0.333126301492226	90.8462714653284	FBgn0010292	bys	0.295	Eukaryota	non_HKs	0	non_TS_non_HK	0.361337052107172	0.414195452278805
CG14322	59	70	71	58	-0.246639967583125	0.29176612437711	35.1452528325218	FBgn0038532	CG14322	0.344	Pan-drosophilid	non_HKs	0	non_TS_non_HK	0.56500924613311	0.608556488815888
CG1434	87	74	80	81	0.233490130219778	-0.0179219079972625	6.65415861950145	FBgn0030554	CG1434	0.392	Eukaryota	non_HKs	0	non_TS_non_HK	0.534407733946304	1
CG1440	495	407	482	420	0.282399730700725	0.198643818563839	70.3413626036184	FBgn0030038	CG1440	0.379	Diptera	non_HKs	0	non_TS_non_HK	0.0154957947437642	0.188723767199726
CG14407	89	86	85	90	0.0494686762642999	-0.082462160191973	38.4630848400652	FBgn0030584	CG14407	0.39	Cellular_Organisms	non_HKs	0	non_TS_non_HK	0.961109481976187	0.95092502906498
CG14408	97	92	111	78	0.0763508861301148	0.509013647487858	54.0539874107982	FBgn0030581	CG14408	0.397	Bilateria	non_HKs	0	non_TS_non_HK	0.885571840998153	0.114142017002523
CG14411	270	266	280	256	0.0215331615496414	0.129283016944966	54.5422310705343	FBgn0030582	CG14411	0.433	Bilateria	non_HKs	0	non_TS_non_HK	0.966712823716784	0.633192818210023
CG14413	57	59	55	61	-0.0497530351970996	-0.149377624038227	59.99048053063	FBgn0030572	mRpS25	0.292	Bilateria	non_HKs	0	non_TS_non_HK	0.983415153943269	0.88117098532227
CG1443	26	25	37	14	0.0565835283663675	1.40209844357135	51.0296850571357	FBgn0039620	wat	0.631	Cellular_Organisms	non_HKs	0	TS	1	0.0196875841374392
CG14430	38	30	41	27	0.341036917835067	0.602664502454615	69.7292629965848	FBgn0261284	bou	0.498	Diptera	non_HKs	0	non_TS_non_HK	0.5810680908125	0.353347273210807
CG14435	77	64	81	60	0.266786540694901	0.432959407276106	72.264410743331	FBgn0029911	CG14435	0.388	Eukaryota	non_HKs	0	non_TS_non_HK	0.498416531430881	0.308131277510903
CG14437	181	163	172	172	0.151117732852128	0	0	FBgn0029502	COQ7	0.357	Cellular_Organisms	non_HKs	0	non_TS_non_HK	0.548909929462626	1
CG14438	77	152	101	128	-0.981140972748684	-0.341788517248205	34.8358214305003	FBgn0029899	CG14438	0.314	Pan-drosophilid	non_HKs	0	non_TS_non_HK	8.177631139604e-06	0.29617858802972
CG1444	486	498	443	541	-0.0351894284623	-0.288321895271797	53.2495285777213	FBgn0029975	CG1444	0.309	Cellular_Organisms	non_HKs	0	non_TS_non_HK	0.853990442864809	0.0211819621625062
CG14441	55	62	56	61	-0.172836596862216	-0.123382415505282	71.3867420125391	FBgn0029895	CG14441	0.487	Pan-drosophilid	non_HKs	0	non_TS_non_HK	0.745086427744006	0.920144727674125
CG14442	278	392	312	358	-0.495768771391701	-0.198413558402008	40.0213909893982	FBgn0029893	CG14442	0.369	Bilateria	non_HKs	0	non_TS_non_HK	9.89492793186229e-05	0.29019819011748
CG14446	97	177	119	155	-0.86769270789587	-0.381306641966294	43.944894142415	FBgn0262730	CG14446	0.534	Bilateria	HK	1.420340616	non_TS_HK	1.46363365783436e-05	0.166280416026522
CG14447	22	42	24	40	-0.932885804141463	-0.736965594166206	78.9984787949944	FBgn0029830	Grip	0.671	Bilateria	non_HKs	0	TS	0.0556335150711097	0.237415368422681
CG14472	267	614	430	451	-1.20139891368263	-0.0687907736659206	5.72588945124459	FBgn0011230	poe	0.319	Eukaryota	HK	7.587726429	non_TS_HK	2.49980550396353e-30	0.788530019143771
CG14478	270	311	279	302	-0.203955173079772	-0.114283427495891	56.0336008006977	FBgn0028953	CG14478	0.36	Eukaryota	non_HKs	0	non_TS_non_HK	0.215738306981115	0.673451189924676
CG1448	27	55	49	33	-1.02647221136119	0.570315724756755	26.3169563622333	FBgn0265274	Inx3	0.441	Bilateria	non_HKs	0	non_TS_non_HK	0.0113959411041448	0.319084060985577
CG14483	74	70	81	63	0.0801703486839834	0.362570079384708	56.2150466138379	FBgn0034248	CG14483	0.381	Bilateria	non_HKs	0	non_TS_non_HK	0.90795343303591	0.425749941396408
CG14489	342	199	294	247	0.781227894342249	0.251305113251687	32.1679646965591	FBgn0015522	olf186-M	0.469	Pan-drosophilid	non_HKs	0	non_TS_non_HK	1.32362616353546e-08	0.205700704369248
CG1451	92	183	143	132	-0.99213788222703	0.115477217419936	9.44141466744406	FBgn0015589	Apc	0.276	Bilateria	non_HKs	0	non_TS_non_HK	5.38877035536456e-07	0.815170011891961
CG14511	23	33	37	19	-0.52083216330144	0.961525852185364	39.3441711737813	FBgn0039641	CG14511	0.475	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian	non_HKs	0	non_TS_non_HK	0.40103403895162	0.124063924944236
CG14513	56	45	65	36	0.315501825727929	0.852442811586142	61.3540199010621	FBgn0005596	yem	0.513	Bilateria	non_HKs	0	non_TS_non_HK	0.507195779422272	0.0448895307427203
CG14514	61	43	50	54	0.504472582860788	-0.111031312388744	15.2823030764978	FBgn0039654	Brd8	0.459	Bilateria	non_HKs	0	non_TS_non_HK	0.212668043132847	0.952456122633698
CG14516	120	106	127	99	0.178970141045319	0.359328066692556	66.5809511072725	FBgn0039640	CG14516	0.664	Eukaryota	non_HKs	0	TS	0.573396496704702	0.268756427329121
CG14517	37	51	38	50	-0.462971976342546	-0.395928676331139	85.5189291280554	FBgn0039625	beta4GalNAcTB	0.302	Diptera	non_HKs	0	non_TS_non_HK	0.319021185074878	0.546314012531143
CG14528	59	28	64	23	1.07528812730424	1.47643804394299	78.6348269662711	FBgn0039611	CG14528	0.668	Bilateria	non_HKs	0	TS	0.00577217384798137	0.000303278729489169
CG1453	146	200	154	192	-0.454031630894707	-0.318175960026255	70.0779281388969	FBgn0030268	Klp10A	0.401	Diptera	non_HKs	0	non_TS_non_HK	0.0174765556170072	0.201594127118775
CG14536	206	188	197	197	0.131911675505581	0	0	FBgn0031950	Herp	0.388	Bilateria	non_HKs	0	non_TS_non_HK	0.57739662927796	1
CG1454	121	118	145	94	0.0362201879127532	0.625320238337297	51.4912542324899	FBgn0005642	wdn	0.409	Diptera	non_HKs	0	non_TS_non_HK	0.966712823716784	0.0142313370166689
CG14543	25	39	30	34	-0.641546029087524	-0.180572245641821	28.1464209043037	FBgn0039404	CG14543	0.522	Eukaryota	non_HKs	0	non_TS_non_HK	0.226534506750924	0.917234940994418
CG1458	86	83	89	80	0.0512253233551732	0.153805336079035	59.9899084706579	FBgn0062442	Cisd2	0.275	Eukaryota	non_HKs	0	non_TS_non_HK	0.960789406476561	0.809064281496423
CG1461	65	106	82	89	-0.705552641534745	-0.118181426348314	16.7501925995545	FBgn0030558	CG1461	0.796	Diptera	non_HKs	0	TS	0.00950042430128631	0.883369133351202
CG14613	82	79	77	84	0.0537712564409807	-0.125530882083859	41.1802113278921	FBgn0031188	CG14613	0.52	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Bilateria by ProteinHistorian	non_HKs	0	non_TS_non_HK	0.959221115972602	0.876332111176158
CG14614	63	45	52	56	0.485426827170242	-0.106915203916512	15.2898244829762	FBgn0266848	wap	0.252	Eukaryota	non_HKs	0	non_TS_non_HK	0.223223658810295	0.954492771522101
CG14619	51	31	45	37	0.71822903158462	0.282399730700725	39.3188966585867	FBgn0031187	Usp2	0.425	Eukaryota	non_HKs	0	non_TS_non_HK	0.0995224658824298	0.741234715836699
